100100,41,工大,0391,B
100110,43,室蘭港,0122,A
100310,39,室蘭港,0122,A
100700,39,工大,0391,A
100710,41,室蘭港,0122,A
101110,52,室蘭港,0122,A
101500,26,東町ターミナル,0211,A
101510,28,室蘭港,0122,A
102300,18,工大,0391,B
104100,34,幌別駅西口,0521,B
104110,34,東町ターミナル,0211,A
104300,32,資料館前,0643,A
104310,33,東町ターミナル,0211,A
106700,34,東町ターミナル,0211,A
106810,34,東町ターミナル,0211,A
106900,25,柏木,0846,A
106910,25,東町ターミナル,0211,A
107000,26,柏木,0846,A
107010,26,東町ターミナル,0211,A
107100,23,すずかけニュータウン,0872,B
107110,24,東町ターミナル,0211,A
107200,24,すずかけニュータウン,0872,B
107210,25,東町ターミナル,0211,A
107600,64,資料館前,0643,A
107610,63,石川町げんき館前,0620,A
107700,31,石川町げんき館前,0620,A
107710,32,東町ターミナル,0211,A
107810,33,東町ターミナル,0211,A
108500,29,若山営業所前,0501,A
108510,29,東町ターミナル,0211,A
108700,38,幌別駅西口,0521,A
108710,38,東町ターミナル,0211,A
108800,45,市民プール前,0571,A
108810,45,東町ターミナル,0211,A
109000,24,地球岬団地,0166,A
109010,24,東室蘭駅東口,0262,B
109100,44,東室蘭駅東口,0262,B
109110,45,みたら・水族館前,0990,A
109200,44,東室蘭駅東口,0262,B
109210,47,みたら・水族館前,0990,A
109220,33,東室蘭駅東口,0262,B
110100,33,地球岬団地,0166,A
110110,34,みたら・水族館前,0990,A
110200,33,地球岬団地,0166,A
110210,36,みたら・水族館前,0990,A
110300,36,地球岬団地,0166,A
110310,37,石川町げんき館前,0620,A
112110,22,地球岬団地,0166,A
113700,49,若山営業所前,0501,A
113710,51,室蘭港,0122,A
119010,29,東町ターミナル,0211,A
120000,55,工大,0391,A
120200,60,みたら・水族館前,0990,A
120400,24,舟見町,0133,A
120700,01,陣屋,0921,B
120700,02,JXTGエネルギー前,0912,B
120700,03,幌萌町,0911,B
120700,04,本輪西駅前,0901,B
120700,05,本輪西2丁目,0891,B
120700,06,春雨橋,0851,B
120700,07,港北町1丁目,0831,B
120700,08,港北町入口,0811,B
120700,09,清水丘高校前,0034,A
120800,01,白鳥台中央,0961,A
120800,02,北公園前,0951,B
120800,03,本室蘭小学校前,0946,B
120800,04,白鳥台4丁目,0945,B
120800,05,白鳥台5丁目,0944,B
120800,06,白鳥台2丁目,0943,B
120800,07,崎守町,0942,B
120800,08,西陣屋,0941,B
120800,09,清水丘高校前,0034,A
120900,01,室蘭養護学校前,0765,A
120900,02,大谷高校前,0764,B
120900,03,八丁平4丁目,0763,B
120900,04,3号通,0762,B
120900,05,1号公園入口,0761,B
120900,06,南公園前,0752,A
120900,07,八丁平1丁目,0754,A
120900,08,八丁平5丁目,0753,A
120900,09,ケアーハウス前,0756,A
120900,10,高平通入口,0186,A
120900,11,展望台入口,0755,A
120900,12,八丁平1丁目,0754,B
120900,13,南公園前,0752,B
120900,14,八丁平西,0828,A
120900,15,港北町5丁目,0826,A
120900,16,港北町中央,0824,A
120900,17,港北町4丁目,0823,A
120900,18,蘭北小学校前,0822,A
120900,19,港北町3丁目,0821,A
120900,20,港北町入口,0811,A
120900,21,清水丘高校前,0034,A
121000,33,東翔高校前,0383,B
123800,06,清水丘高校前,0034,A
123810,01,清水丘高校前,0034,A
123810,02,港南町,0051,A
123810,03,小橋内,0052,A
123810,04,通船前,0061,A
123810,05,室蘭観光協会前,0081,C
123810,06,室蘭駅前広場,0083,A
124210,15,東町5丁目,0192,C
124210,17,清水丘高校前,0034,A
124400,01,清水丘高校前,0034,A
124400,02,室蘭観光協会前,0081,C
124400,03,室蘭駅前,0082,B
124400,04,東町5丁目,0192,D
124400,05,東町ターミナル,0211,A
126710,16,東町5丁目,0192,C
126710,18,清水丘高校前,0034,A
127100,29,東町5丁目,0192,C
127100,31,清水丘高校前,0034,A
127200,26,東町5丁目,0192,C
127200,28,清水丘高校前,0034,A
127310,27,清水丘高校前,0034,A
130100,74,中央町,0101,C
130110,74,中央町,0101,C
130200,77,中央町,0101,C
130210,77,中央町,0101,C
130300,55,中央町,0101,C
130310,55,中央町,0101,C
130400,38,中央町,0101,C
130500,22,中央町,0101,C
130510,22,中央町,0101,C
130600,53,東町ターミナル,0211,A
130610,53,東町ターミナル,0211,A
130700,20,東町ターミナル,0211,A
130710,20,東町ターミナル,0211,A
130800,74,中央町,0101,C
130810,74,中央町,0101,C
130900,37,東町ターミナル,0211,A
131100,42,資料館前,0643,A
131110,42,東町ターミナル,0211,A
131500,40,室蘭ろう学校前,0402,A
131610,46,室蘭港,0122,A
131700,19,東町ターミナル,0211,A
132200,24,室蘭養護学校前,0765,A
132210,24,東町ターミナル,0211,A
132610,17,東町ターミナル,0211,A
